trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
166000,0.4719,0.2093,12,0.7000,62.16,323,9.94,0.00,0,2800,384,384,412
167000,0.6388,0.2524,12,0.7000,62.02,330,9.97,0.00,0,2800,384,384,412
168000,0.5654,0.2600,12,0.7000,61.99,329,9.96,0.01,5,2800,384,384,412
169000,0.6149,0.1212,12,0.7000,62.02,328,9.96,0.00,0,2800,384,384,412
170000,0.5505,0.2279,12,0.7000,61.94,326,9.97,0.00,0,2800,384,384,412
171000,0.6107,0.2992,12,0.7000,62.05,324,9.95,0.00,0,2800,384,384,412
172000,0.6098,0.2346,12,0.7000,62.01,323,9.97,0.00,0,2800,384,384,412
173000,0.6134,0.2446,12,0.7000,62.01,323,9.96,0.00,0,2800,384,384,412
174000,0.5870,0.3277,12,0.7000,62.01,330,9.96,0.00,0,2800,384,384,412
175000,0.5632,0.1648,12,0.7000,62.02,328,9.96,0.00,0,2800,384,384,412
176000,0.5550,0.2347,12,0.7000,61.99,327,9.96,0.00,0,2800,384,384,412
177000,0.5462,0.1140,12,0.7000,62.02,326,9.97,0.00,0,2800,384,384,412
178000,0.6088,0.2019,12,0.7000,62.07,324,9.95,0.00,0,2800,384,384,412
179000,0.4806,0.2122,12,0.7000,61.99,323,9.97,0.00,0,2800,384,384,412
180000,0.5624,0.3103,12,0.7000,62.03,322,9.95,0.00,0,2800,384,384,412
181000,0.5524,0.2217,12,0.7000,62.08,330,9.95,0.00,0,2800,384,384,412
182000,0.6180,0.4136,12,0.7000,62.04,328,9.96,0.00,0,2800,384,384,412
183000,0.5612,0.2496,12,0.7000,62.08,327,9.97,0.00,0,2800,384,384,412
184000,0.6220,0.2984,12,0.7000,62.01,325,9.96,0.00,0,2800,384,384,412
185000,0.4929,0.3054,12,0.7000,62.05,324,9.95,0.00,0,2800,384,384,412
186000,0.5397,0.3063,12,0.7000,62.08,323,9.95,0.01,5,2800,384,384,412
187000,0.4201,0.1804,12,0.7000,62.05,321,9.95,0.00,0,2800,384,384,412
188000,0.5497,0.2832,12,0.7000,62.10,329,9.97,0.00,0,2800,384,384,412
189000,0.5273,0.3036,12,0.7000,61.94,328,9.97,0.00,0,2800,384,384,412
190000,0.5514,0.2878,12,0.7000,62.11,326,9.96,0.00,0,2800,384,384,412
191000,0.5587,0.3182,12,0.7000,61.96,325,9.96,0.00,0,2800,384,384,412
192000,0.5759,0.2357,12,0.7000,62.05,323,9.95,0.01,5,2800,384,384,412
193000,0.5136,0.3071,12,0.7000,62.01,322,9.97,0.00,0,2800,384,384,412
194000,0.5780,0.2411,12,0.7000,61.98,330,9.96,0.00,0,2800,384,384,412
195000,0.5405,0.2704,12,0.7000,62.13,329,9.96,0.00,0,2800,384,384,412
196000,0.5481,0.3961,12,0.7000,62.01,327,9.96,0.00,0,2800,384,384,412
197000,0.6770,0.3812,12,0.7000,62.13,326,9.95,0.01,5,2800,384,384,412
